17:28:06 | INFO     | Conexion Binance establecida.
17:28:06 | INFO     | Conectando a Binance...
17:28:06 | INFO     | Conexion Binance establecida.
17:28:17 | INFO     | Conectando a Binance...
17:28:18 | INFO     | Conexion Binance establecida.
17:28:18 | INFO     | Conectando a Binance...
17:28:18 | INFO     | Conexion Binance establecida.
17:28:29 | INFO     | Conectando a Binance...
17:28:30 | INFO     | Conexion Binance establecida.
17:28:30 | INFO     | Conectando a Binance...
17:28:31 | INFO     | Conexion Binance establecida.
17:28:37 | ERROR    | Ningún modelo de Gemini respondió correctamente. Verifica tu API Key en https://aistudio.google.com/app/apikey
17:28:41 | INFO     | Conectando a Binance...
17:28:42 | INFO     | Conexion Binance establecida.
17:28:42 | INFO     | Conectando a Binance...
17:28:43 | INFO     | Conexion Binance establecida.
17:28:53 | INFO     | Conectando a Binance...
17:28:54 | INFO     | Conexion Binance establecida.
17:28:54 | INFO     | Conectando a Binance...
17:28:55 | INFO     | Conexion Binance establecida.
17:29:05 | INFO     | Conectando a Binance...
17:29:06 | INFO     | Conexion Binance establecida.
17:29:06 | INFO     | Conectando a Binance...
17:29:07 | INFO     | Conexion Binance establecida.
17:29:17 | INFO     | Conectando a Binance...
17:29:18 | INFO     | Conexion Binance establecida.
17:29:18 | INFO     | Conectando a Binance...
17:29:19 | INFO     | Conexion Binance establecida.
17:29:29 | INFO     | Conectando a Binance...
17:29:30 | INFO     | Conexion Binance establecida.
17:29:31 | INFO     | Conectando a Binance...
17:29:31 | INFO     | Conexion Binance establecida.
17:29:38 | ERROR    | Ningún modelo de Gemini respondió correctamente. Verifica tu API Key en https://aistudio.google.com/app/apikey
17:29:42 | INFO     | Conectando a Binance...
17:29:42 | INFO     | Conexion Binance establecida.
17:29:43 | INFO     | Conectando a Binance...
17:29:43 | INFO     | Conexion Binance establecida.
17:52:06 | INFO     | Gemini iniciado con 1 API key(s)
17:52:06 | INFO     | Conectando a Binance...
17:52:06 | INFO     | Conexion Binance establecida.
17:52:06 | INFO     | Bot iniciado - Par: BTCUSDT | DRY_RUN: True
17:52:06 | INFO     | Motor de senales: Google Gemini (consulta cada 60s)
17:52:06 | INFO     | Confianza minima para operar: 65%
17:52:07 | INFO     | WebSocket activo para BTCUSDT
17:52:27 | INFO     | Conectando a Binance...
17:52:28 | INFO     | Conexion Binance establecida.
17:52:28 | INFO     | Conectando a Binance...
17:52:29 | INFO     | Conexion Binance establecida.
17:52:29 | INFO     | Conectando a Binance...
17:52:30 | INFO     | Conexion Binance establecida.
17:52:30 | INFO     | Conectando a Binance...
